Date,Open,High,Low,Close,Volume,Currency,Name,Type
2016-01-04,1135.5,1135.5,1135.5,1135.5,143,USD,Gold,commodity
2016-01-05,1138.4,1138.4,1138.4,1138.4,82,USD,Gold,commodity
2016-01-06,1151.9,1151.9,1151.9,1151.9,52,USD,Gold,commodity
2016-01-07,1162.7,1162.7,1162.7,1162.7,122,USD,Gold,commodity
2016-01-08,1151.7,1151.7,1151.7,1151.7,98,USD,Gold,commodity
2016-01-11,1148.5,1148.5,1148.5,1148.5,43,USD,Gold,commodity
2016-01-12,1137.1,1137.1,1137.1,1137.1,87,USD,Gold,commodity
2016-01-13,1137.4,1137.4,1137.4,1137.4,50,USD,Gold,commodity
2016-01-14,1123.0,1123.0,1123.0,1123.0,59,USD,Gold,commodity
2016-01-15,1137.5,1137.5,1137.5,1137.5,44,USD,Gold,commodity
2016-01-17,1088.6,1090.8,1088.6,1090.3,0,USD,Gold,commodity
2016-01-18,1090.2,1093.3,1087.4,1088.5,0,USD,Gold,commodity
2016-01-19,1135.8,1135.8,1135.8,1135.8,17,USD,Gold,commodity
2016-01-20,1151.7,1151.7,1151.7,1151.7,30,USD,Gold,commodity
2016-01-21,1143.6,1143.6,1143.6,1143.6,16,USD,Gold,commodity
2016-01-22,1142.6,1142.6,1142.6,1142.6,4,USD,Gold,commodity
2016-01-25,1152.4,1152.4,1152.4,1152.4,8,USD,Gold,commodity
2016-01-26,1167.3,1167.3,1167.3,1167.3,181,USD,Gold,commodity
2016-01-27,1163.9,1163.9,1163.9,1163.9,7,USD,Gold,commodity
2016-01-28,1163.7,1163.7,1163.7,1163.7,52861,USD,Gold,commodity
2016-01-29,1161.9,1161.9,1161.9,1161.9,2,USD,Gold,commodity
2016-02-01,1173.5,1173.5,1173.5,1173.5,1682,USD,Gold,commodity
2016-02-02,1170.1,1170.1,1170.1,1170.1,1230,USD,Gold,commodity
2016-02-03,1183.3,1183.3,1183.3,1183.3,1630,USD,Gold,commodity
2016-02-04,1197.7,1197.7,1197.7,1197.7,771,USD,Gold,commodity
2016-02-05,1220.4,1220.4,1220.4,1198.0,4,USD,Gold,commodity
2016-02-08,1243.8,1243.8,1243.8,1238.2,2,USD,Gold,commodity
2016-02-09,1236.9,1236.9,1236.9,1236.9,700,USD,Gold,commodity
2016-02-10,1232.6,1232.6,1232.6,1232.6,671,USD,Gold,commodity
2016-02-11,1269.0,1269.0,1269.0,1282.1,1,USD,Gold,commodity
2016-02-12,1271.2,1271.2,1271.2,1271.2,5,USD,Gold,commodity
2016-02-14,1235.7,1235.9,1231.4,1233.6,0,USD,Gold,commodity
2016-02-15,1234.0,1235.1,1202.8,1208.1,0,USD,Gold,commodity
2016-02-16,1230.0,1230.0,1230.0,1241.1,1,USD,Gold,commodity
2016-02-17,1247.2,1247.2,1247.2,1247.2,53,USD,Gold,commodity
2016-02-18,1262.5,1262.5,1262.5,1262.5,315,USD,Gold,commodity
2016-02-19,1267.4,1267.4,1267.4,1267.4,76,USD,Gold,commodity
2016-02-22,1246.0,1246.0,1246.0,1246.7,1,USD,Gold,commodity
2016-02-23,1261.4,1261.4,1261.4,1261.4,351,USD,Gold,commodity
2016-02-24,1277.1,1277.1,1277.1,1277.1,111,USD,Gold,commodity
2016-02-25,1277.0,1277.0,1277.0,1277.0,1,USD,Gold,commodity
2016-02-26,1258.8,1258.8,1258.8,1258.8,656,USD,Gold,commodity
2016-02-29,1273.3,1273.3,1273.3,1273.3,580,USD,Gold,commodity
2016-03-01,1271.2,1271.2,1271.2,1271.2,477,USD,Gold,commodity
2016-03-02,1283.0,1283.0,1283.0,1283.0,267,USD,Gold,commodity
2016-03-03,1300.7,1300.7,1300.7,1300.7,123,USD,Gold,commodity
2016-03-04,1315.6,1315.6,1315.6,1315.6,1,USD,Gold,commodity
2016-03-07,1310.3,1310.3,1310.3,1310.3,67,USD,Gold,commodity
2016-03-08,1309.0,1309.0,1309.0,1309.0,1,USD,Gold,commodity
2016-03-09,1304.0,1304.0,1304.0,1303.4,1,USD,Gold,commodity
2016-03-10,1299.0,1299.0,1299.0,1320.1,1,USD,Gold,commodity
2016-03-11,1308.6,1308.6,1308.6,1308.6,87,USD,Gold,commodity
2016-03-14,1285.0,1286.4,1285.0,1294.4,4,USD,Gold,commodity
2016-03-15,1280.2,1280.2,1280.2,1280.2,37,USD,Gold,commodity
2016-03-16,1280.9,1280.9,1280.9,1280.9,45,USD,Gold,commodity
2016-03-17,1314.1,1314.1,1314.1,1314.1,27,USD,Gold,commodity
2016-03-18,1302.0,1302.0,1302.0,1302.0,1,USD,Gold,commodity
2016-03-21,1292.7,1292.7,1292.7,1292.7,1061,USD,Gold,commodity
2016-03-22,1298.8,1298.8,1298.8,1298.8,20,USD,Gold,commodity
2016-03-23,1299.0,1299.0,1269.7,1274.0,5,USD,Gold,commodity
2016-03-24,1272.4,1272.4,1272.4,1272.4,13,USD,Gold,commodity
2016-03-25,1216.7,1216.7,1216.7,1216.7,0,USD,Gold,commodity
2016-03-28,1270.7,1270.7,1270.7,1270.7,33,USD,Gold,commodity
2016-03-29,1286.3,1286.3,1286.3,1286.3,40,USD,Gold,commodity
2016-03-30,1276.9,1276.9,1276.9,1276.9,48248,USD,Gold,commodity
2016-03-31,1280.9,1280.9,1280.9,1280.9,3377,USD,Gold,commodity
2016-04-01,1268.9,1268.9,1268.9,1268.9,1602,USD,Gold,commodity
2016-04-04,1264.7,1264.7,1264.7,1264.7,2038,USD,Gold,commodity
2016-04-05,1274.5,1274.5,1274.5,1274.5,477,USD,Gold,commodity
2016-04-06,1268.8,1268.8,1268.8,1268.8,248,USD,Gold,commodity
2016-04-07,1282.3,1282.3,1282.3,1282.3,375,USD,Gold,commodity
2016-04-08,1287.3,1287.3,1287.3,1287.3,409,USD,Gold,commodity
